path,split,erythema,induration_papulation,excoriation,lichenification,easi_signs_sum,severity_band
dataset/Eczema/stasis-dermatitis-90.jpg,train,1,2,0,2,5,Severe
dataset/Eczema/eczema-nummular-163.jpg,train,2,2,1,0,5,Severe
dataset/Eczema/stasis-dermatitis-156.jpg,train,2,2,2,1,7,Severe
dataset/Eczema/heels-dry-cracked-7.jpg,train,0,1,0,1,2,Mild
dataset/Eczema/eczema-asteatotic-47.jpg,train,3,1,2,0,6,Severe
dataset/Eczema/keratolysis-exfoliativa-20.jpg,train,0,0,0,0,0,Mild
SkinDisease/valid/Eczema/05atopic031306.jpeg,train,1,2,0,1,4,Moderate
dataset/Eczema/Dyshidrosis-1.jpg,train,2,2,1,0,5,Severe
dataset/Eczema/Dyshidrosis-38.jpg,train,1,0,0,0,1,Mild
dataset/Eczema/eczema-fingertips-133.jpg,train,2,1,3,0,6,Severe
dataset/Eczema/eczema-asteatotic-54.jpg,train,1,0,1,1,3,Moderate
dataset/Eczema/eczema-foot-62.jpg,train,0,3,0,1,4,Moderate
dataset/Eczema/eczema-nummular-93.jpg,train,2,1,1,1,5,Severe
dataset/Eczema/eczema-asteatotic-50.jpg,train,1,1,1,2,5,Severe
dataset/Eczema/eczema-acute-8.jpg,train,2,2,0,0,4,Moderate
dataset/Eczema/eczema-nummular-106.jpg,train,2,1,0,0,3,Moderate
dataset/Eczema/eczema-asteatotic-45.jpg,train,0,0,0,0,0,Mild
dataset/Eczema/eczema-fingertips-34.jpg,train,1,1,0,1,3,Moderate
dataset/Eczema/eczema-chronic-9.jpg,train,0,1,0,2,3,Moderate
dataset/Eczema/eczema-trunk-generalized-16.jpg,train,2,0,0,0,2,Mild
dataset/Eczema/eczema-anal-3.jpg,train,2,1,2,1,6,Severe
dataset/Eczema/eczema-hand-110.jpg,train,2,1,1,1,5,Severe
SkinDisease/test/Eczema/05Atopic0712046.jpeg,train,2,2,3,1,8,Severe
dataset/Eczema/lichen-simplex-chronicus-198.jpg,train,2,2,2,1,7,Severe
dataset/Eczema/heels-dry-cracked-2.jpg,train,0,2,0,2,4,Moderate
dataset/Eczema/eczema-nummular-158.jpg,train,3,1,3,0,7,Severe
SkinDisease/valid/Eczema/05Atopic12060420.jpeg,train,1,0,0,0,1,Mild
dataset/Eczema/Dyshidrosis-44.jpg,train,1,2,0,1,4,Moderate
dataset/Eczema/lichen-simplex-chronicus-145.jpg,train,0,2,0,2,4,Moderate
dataset/Eczema/eczema-fingertips-47.jpg,train,1,2,1,1,5,Severe
dataset/Eczema/03DermatitisLids.jpg,train,1,0,0,0,1,Mild
dataset/Eczema/eczema-impetiginized-10.jpg,train,2,1,3,0,6,Severe
dataset/Eczema/eczema-subacute-94.jpg,train,2,0,1,0,3,Moderate
dataset/Eczema/eczema-nummular-159.jpg,train,2,1,0,0,3,Moderate
dataset/Eczema/eczema-hand-176.jpg,train,0,0,0,0,0,Mild
SkinDisease/valid/Eczema/05AtopicFace0105040k1.jpeg,train,2,1,0,0,3,Moderate
dataset/Eczema/eczema-anal-4.jpg,train,1,0,0,0,1,Mild
dataset/Eczema/eczema-fingertips-51.jpg,train,2,1,1,0,4,Moderate
dataset/Eczema/eczema-subacute-90.jpg,train,1,1,0,0,2,Mild
dataset/Eczema/stasis-dermatitis-99.jpg,train,2,1,2,1,6,Severe
dataset/Eczema/eczema-hand-131.jpg,train,2,2,1,1,6,Severe
SkinDisease/valid/Eczema/05atopic0313061.jpeg,train,2,1,2,1,6,Severe
dataset/Eczema/05hyperkeratosis01010.jpg,train,0,1,0,2,3,Moderate
dataset/Eczema/factitial-dermatitis-2.jpg,train,1,0,0,0,1,Mild
dataset/Eczema/eczema-subacute-11.jpg,train,2,1,0,0,3,Moderate
dataset/Eczema/eczema-fingertips-22.jpg,train,3,2,2,1,8,Severe
dataset/Eczema/neurotic-excoriations-38.jpg,train,1,0,2,0,3,Moderate
dataset/Eczema/chapped-fissured-feet-31.jpg,train,0,1,0,1,2,Mild
dataset/Eczema/eczema-hyperkeratotic-2.jpg,train,0,1,0,1,2,Mild
SkinDisease/valid/Eczema/05atopicFace1003052.jpeg,train,2,1,1,0,4,Moderate
SkinDisease/valid/Eczema/05AtopicMouth54.jpeg,train,2,1,1,0,4,Moderate
dataset/Eczema/keratolysis-exfoliativa-1.jpg,train,0,0,0,1,1,Mild
SkinDisease/valid/Eczema/05AtopicDerm041904.jpeg,train,3,1,0,0,4,Moderate
dataset/Eczema/lichen-simplex-chronicus-172.jpg,train,2,1,1,0,4,Moderate
dataset/Eczema/eczema-fingertips-23.jpg,train,1,3,2,1,7,Severe
dataset/Eczema/prurigo-nodularis-50.jpg,train,2,2,2,0,6,Severe
dataset/Eczema/Dyshidrosis-46.jpg,train,0,2,0,2,4,Moderate
dataset/Eczema/eczema-foot-77.jpg,train,0,3,0,1,4,Moderate
SkinDisease/valid/Eczema/05atopicFlid080105.jpeg,train,1,1,1,1,4,Moderate
SkinDisease/valid/Eczema/05AtopicDerm1103.jpeg,train,2,2,0,0,4,Moderate
SkinDisease/valid/Eczema/05atopicFeet0823042.jpeg,train,0,0,0,0,0,Mild
dataset/Eczema/eczema-nummular-150.jpg,train,2,1,0,1,4,Moderate
dataset/Eczema/eczema-hand-174.jpg,train,1,1,0,0,2,Mild
dataset/Eczema/eczema-asteatotic-13.jpg,train,1,1,0,1,3,Moderate
SkinDisease/valid/Eczema/05AtopicDerm011204.jpeg,train,2,0,0,0,2,Mild
dataset/Eczema/eczema-lids-5.jpg,train,2,1,0,0,3,Moderate
dataset/Eczema/lichen-simplex-chronicus-182.jpg,train,1,1,0,1,3,Moderate
dataset/Eczema/eczema-chronic-32.jpg,train,2,0,0,0,2,Mild
dataset/Eczema/eczema-hand-98.jpg,train,2,1,0,1,4,Moderate
dataset/Eczema/eczema-foot-75.jpg,train,2,1,3,0,6,Severe
dataset/Eczema/03DermatitisArm1.jpg,train,2,1,0,1,4,Moderate
dataset/Eczema/stasis-dermatitis-159.jpg,train,0,0,0,0,0,Mild
dataset/Eczema/eczema-nummular-137.jpg,train,2,2,0,0,4,Moderate
dataset/Eczema/eczema-hand-10.jpg,train,2,1,0,0,3,Moderate
dataset/Eczema/eczema-foot-99.jpg,train,1,2,1,1,5,Severe
dataset/Eczema/neurotic-excoriations-31.jpg,train,1,1,2,0,4,Moderate
dataset/Eczema/eczema-subacute-1.jpg,train,2,1,0,0,3,Moderate
dataset/Eczema/eczema-acute-22.jpg,train,2,0,0,0,2,Mild
dataset/Eczema/neurotic-excoriations-1.jpg,train,2,1,2,0,5,Severe
dataset/Eczema/eczema-asteatotic-11.jpg,train,1,1,0,2,4,Moderate
dataset/Eczema/stasis-dermatitis-84.jpg,train,1,2,1,2,6,Severe
dataset/Eczema/eczema-fingertips-5.jpg,train,2,1,1,0,4,Moderate
dataset/Eczema/eczema-chronic-31.jpg,train,2,1,0,1,4,Moderate
dataset/Eczema/eczema-subacute-85.jpg,train,1,1,1,1,4,Moderate
dataset/Eczema/keratolysis-exfoliativa-3.jpg,train,1,1,0,1,3,Moderate
dataset/Eczema/neurotic-excoriations-18.jpg,train,2,1,2,0,5,Severe
dataset/Eczema/eczema-areola-15.jpg,train,2,1,0,0,3,Moderate
dataset/Eczema/eczema-fingertips-111.jpg,train,1,2,1,1,5,Severe
dataset/Eczema/neurotic-excoriations-51.jpg,train,1,2,2,0,5,Severe
dataset/Eczema/chapped-fissured-feet-20.jpg,train,1,1,0,1,3,Moderate
dataset/Eczema/stasis-dermatitis-177.jpg,train,3,2,1,1,7,Severe
dataset/Eczema/eczema-lids-8.jpg,train,0,0,0,0,0,Mild
SkinDisease/valid/Eczema/05Atopic120604.jpeg,train,1,0,0,0,1,Mild
dataset/Eczema/eczema-fingertips-43.jpg,train,1,1,0,1,3,Moderate
SkinDisease/test/Eczema/05Atopic010203.jpeg,train,2,0,0,0,2,Mild
dataset/Eczema/prurigo-nodularis-14.jpg,train,2,2,1,0,5,Severe
dataset/Eczema/eczema-hand-168.jpg,train,2,1,0,1,4,Moderate
dataset/Eczema/eczema-nummular-99.jpg,train,1,1,1,1,4,Moderate
dataset/Eczema/eczema-hand-109.jpg,train,1,2,1,1,5,Severe
dataset/Eczema/stasis-dermatitis-110.jpg,train,2,2,3,1,8,Severe
dataset/Eczema/Dyshidrosis-45.jpg,train,0,3,0,2,5,Severe
dataset/Eczema/lichen-simplex-chronicus-17.jpg,train,2,1,0,1,4,Moderate
dataset/Eczema/eczema-subacute-100.jpg,train,2,2,2,1,7,Severe
dataset/Eczema/keratolysis-exfoliativa-46.jpg,train,2,1,0,1,4,Moderate
dataset/Eczema/chapped-fissured-feet-33.jpg,train,1,1,0,0,2,Mild
SkinDisease/valid/Eczema/3Eczema3-020.jpeg,train,1,3,1,2,7,Severe
dataset/Eczema/stasis-dermatitis-97.jpg,train,0,1,0,1,2,Mild
