path,split,composite_file,cell_number,erythema,induration_papulation,excoriation,lichenification
dataset/Eczema/stasis-dermatitis-90.jpg,train,composite_0001.jpg,1,1,2,0,2
dataset/Eczema/eczema-nummular-163.jpg,train,composite_0001.jpg,2,2,2,1,0
dataset/Eczema/stasis-dermatitis-156.jpg,train,composite_0001.jpg,3,2,2,2,1
dataset/Eczema/heels-dry-cracked-7.jpg,train,composite_0001.jpg,4,0,1,0,1
dataset/Eczema/eczema-asteatotic-47.jpg,train,composite_0001.jpg,5,3,1,2,0
dataset/Eczema/keratolysis-exfoliativa-20.jpg,train,composite_0001.jpg,6,0,0,0,0
SkinDisease/valid/Eczema/05atopic031306.jpeg,train,composite_0001.jpg,7,1,2,0,1
dataset/Eczema/Dyshidrosis-1.jpg,train,composite_0001.jpg,8,2,2,1,0
dataset/Eczema/Dyshidrosis-38.jpg,train,composite_0001.jpg,9,1,0,0,0
dataset/Eczema/eczema-fingertips-133.jpg,train,composite_0002.jpg,1,2,1,3,0
dataset/Eczema/eczema-asteatotic-54.jpg,train,composite_0002.jpg,2,1,0,1,1
dataset/Eczema/eczema-foot-62.jpg,train,composite_0002.jpg,3,0,3,0,1
dataset/Eczema/eczema-nummular-93.jpg,train,composite_0002.jpg,4,2,1,1,1
dataset/Eczema/eczema-asteatotic-50.jpg,train,composite_0002.jpg,5,1,1,1,2
dataset/Eczema/eczema-acute-8.jpg,train,composite_0002.jpg,6,2,2,0,0
dataset/Eczema/eczema-nummular-106.jpg,train,composite_0002.jpg,7,2,1,0,0
dataset/Eczema/eczema-asteatotic-45.jpg,train,composite_0002.jpg,8,0,0,0,0
dataset/Eczema/eczema-fingertips-34.jpg,train,composite_0002.jpg,9,1,1,0,1
dataset/Eczema/eczema-chronic-9.jpg,train,composite_0003.jpg,1,0,1,0,2
dataset/Eczema/eczema-trunk-generalized-16.jpg,train,composite_0003.jpg,2,2,0,0,0
dataset/Eczema/eczema-anal-3.jpg,train,composite_0003.jpg,3,2,1,2,1
dataset/Eczema/eczema-hand-110.jpg,train,composite_0003.jpg,4,2,1,1,1
SkinDisease/test/Eczema/05Atopic0712046.jpeg,train,composite_0003.jpg,5,2,2,3,1
dataset/Eczema/lichen-simplex-chronicus-198.jpg,train,composite_0003.jpg,6,2,2,2,1
dataset/Eczema/heels-dry-cracked-2.jpg,train,composite_0003.jpg,7,0,2,0,2
dataset/Eczema/eczema-nummular-158.jpg,train,composite_0003.jpg,8,3,1,3,0
