dataset,path,class,skin_fraction,error
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4119328652026046199.png,Eczema,0.8365478515625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\1527988518649089970.png,Eczema,0.91375732421875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\7957037724011770922.png,Eczema,0.66796875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4436877722004252234.png,Eczema,0.91668701171875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\6675143408858735444.png,Eczema,0.77642822265625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\9047654489067734884.png,Eczema,0.6845703125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-8239529408406365093.png,Eczema,0.99835205078125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-3940816727290109028.png,Eczema,0.772216796875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-457463002444974882.png,Eczema,0.85345458984375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\3672035037804163918.png,Eczema,0.97711181640625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-1263855921325980066.png,Eczema,0.544189453125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4076782359054286063.png,Eczema,0.00555419921875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\8187090160093201589.png,Eczema,0.77313232421875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\5666232087679610822.png,Eczema,0.79339599609375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\2634903212622073763.png,Eczema,0.353515625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\5475014386524307360.png,Eczema,0.4495849609375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\7870109801780410868.png,Eczema,0.5382080078125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-2476666525066355593.png,Eczema,0.58428955078125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-6512147186058965264.png,Eczema,0.5087890625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\8043881180069547461.png,Eczema,0.9625244140625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\1779309246996751578.png,Eczema,0.9315185546875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-9186663381072946606.png,Eczema,0.12042236328125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4767504724286041742.png,Eczema,0.945556640625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\3854838007785418240.png,Eczema,0.453125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\8020891537658973646.png,Eczema,0.94146728515625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-6572623590789008562.png,Eczema,0.384521484375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\9102222709706846440.png,Eczema,0.90093994140625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4573383150487721045.png,Eczema,0.98138427734375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4315380494523344416.png,Eczema,0.9083251953125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\8804770671385544837.png,Eczema,0.51434326171875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-8054001866397330447.png,Eczema,0.853271484375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\7791538138327469326.png,Eczema,0.6510009765625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-3472013078354125372.png,Eczema,1.0,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-2497369499064387207.png,Eczema,0.5645751953125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\7470478986187106035.png,Eczema,0.60675048828125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-101827005996397499.png,Eczema,0.87884521484375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-1287537139414408239.png,Eczema,0.44677734375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\9105346707210308949.png,Eczema,0.61993408203125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-5786766637950420055.png,Eczema,0.87249755859375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-5116461847734141400.png,Eczema,0.99725341796875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\5604714673774290686.png,Eczema,0.92742919921875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\3140482091238147853.png,Eczema,0.7650146484375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\6049746348803202577.png,Eczema,0.8770751953125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\9033109747957812158.png,Eczema,0.84423828125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\7696895576315201202.png,Eczema,0.7081298828125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-1687786499395222413.png,Eczema,0.83929443359375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\9154597863499272620.png,Eczema,0.7662353515625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\1907862242724374121.png,Eczema,0.26824951171875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\7701107720886548973.png,Eczema,0.60205078125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4603590259708776060.png,Eczema,0.55157470703125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-2771384970277456203.png,Eczema,0.68365478515625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-6428053927743852697.png,Eczema,0.8868408203125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-5409557810550060682.png,Eczema,0.73297119140625,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-6561484724818123004.png,Eczema,0.80950927734375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4113364670973148735.png,Eczema,0.00457763671875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-7675297277521429765.png,Eczema,0.7493896484375,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-4680035242121105254.png,Eczema,0.524658203125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-7445662782263265515.png,Eczema,0.89569091796875,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\-736839246514769800.png,Eczema,0.9561767578125,
SCIN,C:\Users\tishy\Documents\Honors\dataset\SCIN\images\70450900473269645.png,Eczema,0.653076171875,
