key,title,year,venue,citations,url,arxiv,doi,compression,fairness,domain,n_origins,origins,abstract
arxiv:2609.17786,FairCompressAgent: An Agentic Framework for Fairness-Aware Model Compression for FPGA Deployment,2026,,0,https://www.semanticscholar.org/paper/d4937578e0c88e0a9c3caa90898b879b5e5f31f1,2609.17786,,True,True,True,6,arxiv:abs:pruning AND abs:Fitzpatrick | arxiv:abs:quantization AND abs:Fitzpatrick | cites:FairPrune 2022 | cites:Groh 2021 Fitzpatrick17k | cites:Hooker 2020 Characterising bias in compressed models | s2:model compression fairness dermatology,"Fairness-aware model compression requires selecting methods and configurations that balance accuracy, fairness, and deployment cost. These decisions become more difficult when compression methods are composed or the user's requirements change. In this paper, we propose FairCompressAgent (FCA), an agentic framework that integrates fairness-aware pruning, incremental quantization, and sparse low-rank factorization through a common operator interface. A language-model planner uses model profiles and measured outcomes to select compression configurations, while an execution layer performs compression, fine-tuning, evaluation, and constraint-based selection. FCA also supports requirement updates and reports the remaining violation when a request cannot be satisfied. Experiments on Fitzpatrick-17k with VGG-11 compare four search methods over 40 measured configurations. Under the accuracy-constrained request, FCA selects a compressed model with 59.54% less inference tensor storage, while validation average precision increases from 0.5141 to 0.5233 and equalized opportunity (EOpp) decreases from 0.2251 to 0.2168. It reaches the same final selection as one-shot planning with 7.33 versus 12 candidate evaluations on average, under their respective stopping policies. Repeated fine-tuning, held-out testing, and online requirement updates characterize the stability and interactive use of this compression workflow. The results demonstrate how measured feedback and explicit constraints support the selection and interactive refinement of fairness-aware compression configurations."
doi:10.2196/94764,"Local Deployment of Open-Weight Language Models in Dermatology: Viewpoint on Privacy, Equity, and Practical Implementation",2026,JMIR Dermatology,0,https://www.semanticscholar.org/paper/ca1ce61a9c33ef83f7c0be1251ddb92b2cfa3f27,,10.2196/94764,True,True,True,1,s2:model compression fairness dermatology,"Abstract Generative AI, particularly large language models (LLMs), is reshaping clinical workflows in dermatology. However, cloud-based commercial models pose persistent challenges to Health Insurance Portability and Accountability Act (HIPAA) compliance, especially in dermatology, where protected health information (PHI) extends beyond text to clinical photographs, dermoscopic images, and total-body photography that may capture identifiable anatomical features and document conditions carrying social stigma. Locally hosted, open-weight LLMs that are run within the institution’s own infrastructure offer dermatology practices a pathway to leverage AI capabilities while retaining full control of their data. This viewpoint synthesizes evidence on when locally hosted, open-weight LLMs should be preferred for dermatologic workflows, when cloud deployment may remain preferable, and how multimodal AI fits into a coherent local deployment strategy. We advance 4 arguments. First, model compression techniques (knowledge distillation, structured pruning, and low-bit quantization) together with mixture-of-experts architectures have lowered hardware thresholds enough that 7- to 33-billion-parameter models now run on consumer-grade workstations with modest neural processing units or graphics processing units. Second, dermatology is fundamentally a visual specialty, and a credible local deployment strategy must integrate LLMs with vision models, including convolutional neural networks, vision transformers, vision-language models, and dermatology-specific foundation models such as PanDerm and medical multimodal models such as MedGemma. Third, locally hosted, open-weight models confer specific advantages for dermatology, including complete institutional control of clinical images, freedom from vendor model deprecation that disrupts validated workflows, and the ability to audit and fine-tune models to address well-documented performance gaps in skin of color. Fourth, local deployment "
doi:10.33003/fjs-2026-1007-4954,DEVELOPMENT OF A LIGHTWEIGHT DEEP LEARNING MODEL FOR REAL-TIME MASKED AND OCCLUDED FACE RECOGNITION,2026,FUDMA Journal of Sciences,0,https://www.semanticscholar.org/paper/f67ce25bdf30c65fa23c1104bc151639c133a115,,10.33003/fjs-2026-1007-4954,True,True,True,1,s2:quantization bias Fitzpatrick skin type,"Abstract
Masked and occluded face recognition remains a persistent challenge for real-time biometric systems, especially in security, healthcare, and surveillance contexts where facial coverings are either voluntary or mandated. Existing models, such as MFRNet and the occlusion-aware networks, have achieved notable benchmark accuracy; however, their high computational demands make them impractical on edge devices with limited memory and processing power. Furthermore, most state-of-the-art presentation attack detection (PAD) systems operate as isolated modules that are not integrated with recognition pipelines. This gap motivates the present study. A lightweight deep learning model is proposed that combines an occlusion-aware attention module built on a MobileNetV3 backbone with a multi-stream PAD system fusing remote photoplethysmography (rPPG), monocular depth estimation, frequency/texture analysis, and blink dynamics. Optimization through INT8 quantization and knowledge distillation enables edge deployment at latencies below 25 ms per frame. Evaluations on a custom Nigerian-diverse dataset and public benchmarks RMFRD, MAFA, masked CelebA-HQ, and Oulu-NPU show Rank-1 accuracies of 94.2–96.8% under occlusion and PAD Equal Error Rates (EER) of 2.1–3.4%, with reduced demographic bias across Fitzpatrick skin tones I–VI.
 "
doi:10.48550/arxiv.2606.20689,NeoJaundice-AI: Smartphone-Based Neonatal Jaundice Detection Using Dual-Input Deep Learning and Synthetic Augmentation,2026,arXiv.org,0,https://www.semanticscholar.org/paper/152d877dbecca805aa6349a456eda6cafa0ae100,2606.20689,10.48550/arXiv.2606.20689,True,True,True,1,s2:quantization bias Fitzpatrick skin type,"Neonatal jaundice (hyperbilirubinemia) is one of the most common conditions affecting newborns worldwide, with India alone recording roughly 15 million cases per year. Early detection is critical, yet standard diagnosis requires blood tests that are often impractical in rural clinics where laboratory facilities are limited. This paper presents NeoJaundice-AI, a smartphone-based screening system that uses photographs of a baby's skin and sclera (eye white) to estimate jaundice severity and predict serum bilirubin levels in under three seconds without requiring internet connectivity. The proposed system is built on a dual-branch EfficientNet-B0 architecture that independently processes skin and sclera images. Deep features are fused with handcrafted YCbCr color statistics to jointly perform four-class severity classification and continuous bilirubin regression. A key contribution is a synthetic jaundice generation method that simulates bilirubin-induced yellowing through controlled YCbCr channel modifications on normal neonatal skin images. This approach addresses data scarcity, particularly for severe jaundice cases and darker Indian skin tones (Fitzpatrick Types IV to VI). In addition, a skin-tone normalization module improves prediction consistency across diverse neonatal complexions. Experimental results demonstrate an overall classification accuracy of 91.8 percent, a clinical sensitivity of 93.5 percent, and a bilirubin mean absolute error of 1.4 mg/dL. After INT8 quantization and ONNX conversion, the model size is reduced to 8.3 MB while maintaining inference times below three seconds on standard Android devices. To the best of our knowledge, this is the first India-focused neonatal jaundice AI system that combines multimodal image fusion, skin-tone adaptation, synthetic data augmentation, and fully offline mobile deployment within a single framework."
doi:10.48550/arxiv.2605.29827,Fairness Beyond Demographics: Optimizing Performance Across Appearance-Based Hidden Cohorts in Medical Imaging,2026,arXiv.org,0,https://www.semanticscholar.org/paper/5ae0e3be05ec2baa0a9033e87d3158d51e76ef8b,2605.29827,10.48550/arXiv.2605.29827,True,True,True,2,cites:Groh 2021 Fitzpatrick17k | s2:post-training quantization subgroup performance medical imaging,"Medical image analysis models can exhibit performance disparities across patient subgroups, threatening clinical safety and fairness. Existing methods typically address this issue by optimizing accuracy and fairness metrics for visible demographic attributes (e.g., sex or age) considered in isolation. This strategy not only overlooks potentially more informative latent stratifications, which may reveal deeper sources of model error and inequity, but also fails to scale when multiple demographic attributes are considered simultaneously due to the resulting sparsity of training data within each subgroup. We deal with these issues by introducing the label-free hidden-cohort fairness (LHCF) training paradigm that instead of maximizing fairness over visible demographic attributes, it optimizes fairness across latent subpopulations discovered from image appearance. By clustering images into K appearance-based cohorts and applying fairness optimization over them, LHCF uncovers underlying sources of model error and avoids the combinatorial sparsity of multi-demographic attributes, reducing disparities across both single and multiple demographic attributes. We demonstrate on our proposed fairness benchmark, HIDFairBench, that LHCF provides state-of-the-art fairness results on single and multiple demographic attributes, despite never using demographic labels for training. Our results position hidden-cohort fairness as a practical, scalable, and robust alternative to demographic-based fairness optimization for trustworthy medical image analysis."
doi:10.3390/technologies14010076,Quantization of Deep Neural Networks for Medical Image Analysis: A Systematic Review and Meta-Analysis,2026,Technologies,6,https://www.semanticscholar.org/paper/86e96ad79014adcb6b479c6b65f82d5003c61c60,,10.3390/technologies14010076,True,True,True,1,s2:post-training quantization subgroup performance medical imaging,"Neural network quantization has become established as a key strategy for transitioning medical imaging models from research environments to clinical devices and resource-constrained edge platforms; however, the available evidence remains fragmented and focused on highly heterogeneous use cases. This study presents a systematic review of 72 studies on quantization applied to medical images, following PRISMA guidelines, with the aim of characterizing the relationship among quantization technique, network architecture, imaging modality, and execution environment, as well as their impact on latency, memory footprint, and clinical deployment. Based on a structured variable matrix, we analyze—through tailored visualizations—usage patterns of Post-Training Quantization (PTQ), Quantization-Aware Training (QAT), mixed precision, and binary/low-bit schemes across frameworks such as PyTorch V 2.6.0, TensorFlow 2.19.0, and TensorFlow Lite, executed on server-class GPUs, edge/embedded devices, and specialized hardware. The results reveal a strong concentration of evidence in PyTorch/TensorFlow pipelines using INT8 or mixed precision on GPUs and edge platforms, contrasted with limited attention to PACS/RIS interoperability, model lifecycle management, energy consumption, cost, and regulatory traceability. We conclude that, although quantization can approximate real-time performance and reduce memory footprint, its clinical adoption remains constrained by integration challenges, model governance requirements, and the maturity of the hardware–software ecosystem."
doi:10.48550/arxiv.2602.23192,FairQuant: Fairness-Aware Mixed-Precision Quantization for Medical Image Classification,2026,arXiv.org,0,https://www.semanticscholar.org/paper/3e22bd6286f440d720a1cf8401b4fe535ab7de4d,2602.23192,10.48550/arXiv.2602.23192,True,True,True,3,cites:FairPrune 2022 | cites:Groh 2021 Fitzpatrick17k | s2:post-training quantization subgroup performance medical imaging,"Compressing neural networks by quantizing model parameters offers useful trade-off between performance and efficiency. Methods like quantization-aware training and post-training quantization strive to maintain the downstream performance of compressed models compared to the full precision models. However, these techniques do not explicitly consider the impact on algorithmic fairness. In this work, we study fairness-aware mixed-precision quantization schemes for medical image classification under explicit bit budgets. We introduce FairQuant, a framework that combines group-aware importance analysis, budgeted mixed-precision allocation, and a learnable Bit-Aware Quantization (BAQ) mode that jointly optimizes weights and per-unit bit allocations under bitrate and fairness regularization. We evaluate the method on Fitzpatrick17k and ISIC2019 across ResNet18/50, DeiT-Tiny, and TinyViT. Results show that FairQuant configurations with average precision near 4-6 bits recover much of the Uniform 8-bit accuracy while improving worst-group performance relative to Uniform 4- and 8-bit baselines, with comparable fairness metrics under shared budgets."
doi:10.1109/access.2026.3665786,MobileNet-Lite-Health: A Sustainable Edge AI Framework for Medical Image Classification and Carbon-Aware Computing,2026,IEEE Access,1,https://www.semanticscholar.org/paper/d2e86c416ab93e83a6fcfdcfecab7dcc1ff64d34,,10.1109/ACCESS.2026.3665786,True,True,True,1,s2:pruning disparate impact medical image classification,"Deep learning has transformed medical image analysis, achieving high accuracy in classification, segmentation, and diagnosis. However, the substantial computational and energy demands of advanced models, such as large convolutional neural networks (CNNs) and multimodal vision-language systems, hinder their deployment on resource-constrained edge devices like smartphones, especially in mobile health. This challenge is critical in low-resource, bandwidth-limited settings with limited high-performance computing access, exacerbating healthcare disparities. This paper introduces MobileNet-Lite-Health (MLH), a lightweight CNN framework optimized via quantization, pruning, and knowledge distillation for sustainable medical imaging inference. We assess MLH on MedMNIST (PathMNIST subset) and HAM10000 datasets, representing benchmark and clinical contexts, respectively. The main contributions of this paper are: 1) a carbon-aware evaluation pipeline integrating CodeCarbon for CO2 tracking and real-time battery profiling on devices like the Google Pixel 6; 2) comparisons with ResNet-18 and MobileNetV2, showing 74% energy reduction and 76% CO2 decrease per inference with a 2% accuracy drop; and 3) scaling simulations projecting approximately 1.1 g annual CO2 savings per clinic for 50,000 screenings. MLH serves as a green alternative to energy-intensive models like GPT-4V and MedPaLM, unsuitable for edge use. Experimental results confirm MLH’s effectiveness, with 84.7% accuracy on PathMNIST and 80.1% on HAM10000, plus low latency (65 ms) and memory use (95 MB). This work pioneers carbon-aware edge AI, promoting sustainable, accessible healthcare in resource-scarce environments by balancing efficiency, utility, and environmental impact."
doi:10.1186/s12880-026-02600-z,"Medical Segment Anything Model (MedSAM): methodological innovations, evaluation practices, and clinical applications",2026,BMC Medical Imaging,0,https://www.semanticscholar.org/paper/7d60fa39dc85215382fe819a45fe4f9bb3b77f89,,10.1186/s12880-026-02600-z,True,True,True,1,s2:model compression demographic bias medical imaging,"
 
 
 The Medical Segment Anything Model (MedSAM) has emerged as a prominent foundation model for medical image segmentation, prompting rapid growth in related research. Despite this proliferation, the literature remains fragmented across multimodal paradigms and lacks rigorous synthesis of methodological innovations, clinical safety evidence, algorithmic bias, and real-world implementation barriers—gaps that limit the field’s ability to translate algorithmic progress into clinical impact.
 
 
 
 To systematically identify, classify, and synthesize published research on MedSAM and its derivatives, providing a comprehensive overview of methodological developments, evaluation findings, and clinical translation progress.
 
 
 
 This scoping review followed the PRISMA-ScR guideline. We conducted a systematic search across six major databases (PubMed, Embase, Web of Science, Scopus, IEEE Xplore, ACM Digital Library) through June 2025.
 
 
 
 
 From 1,482 initial records, 45 studies met inclusion criteria. Innovation-oriented studies (
 n
  = 32) were classified along four methodological axes spanning multimodal paradigms: Architecture Enhancement (encoder/decoder refinements for efficiency and precision), Prompt Strategy (textual, spatial, and multimodal prompting mechanisms), Efficiency and Deployability (quantization, distillation, and system integration), and Pipeline and Application (integration into clinical workflows). Evaluation-oriented studies (
 n
  = 13) revealed that MedSAM outperforms general-purpose SAM by 5–20% on structured modalities (CT/MRI) but lags behind task-specific networks for delicate structures. Notably, fairness analyses from two studies (combined
 n
  = 1,757 subjects) report Dice disparities of up to 10% across sex, age, and BMI strata, raising concerns about potential demographic bias that warrants further investigation in larger, multi-center cohorts before firm clinical-safety conclusions can be drawn. Real-world deployment is further con"
doi:10.4271/2026-26-0639,"Computer Vision Based Driver Health and Wellness Monitoring System: A) Fatigue Detection, B) Emotional Wellbeing",2026,SAE technical paper series,1,https://www.semanticscholar.org/paper/bde4bd1ac6d6a6e96c3fac7191d524eaa6967c4f,,10.4271/2026-26-0639,True,True,True,1,s2:quantization fairness computer vision demographic,"Computer vision has evolved from a supportive driver-assistance tool into a core technology for intelligent, non-intrusive occupant health monitoring in modern vehicles. Leveraging deep learning, edge optimization, and adaptive image processing, this work presents a dual-module Driver Health and Wellness Monitoring System that simultaneously performs fatigue detection and emotional wellbeing assessment using existing in-cabin RGB cameras without requiring additional sensors or intrusive wearables.The fatigue module employs MediaPipe-based facial and skeletal landmark analysis to track Eye Aspect Ratio (EAR), Mouth Aspect Ratio (MAR), head posture, and gaze dynamics, detecting early drowsiness and postural deviations. Adaptive, driver-specific thresholds combined with CAN-bus data fusion minimize false positives, achieving over 92% detection accuracy even under variable lighting and demographics. The emotional wellbeing module analyzes micro-expressions and facial action units to estimate stress, calmness, and agitation, contextualizing these states with fatigue indicators for holistic assessment. All computation occurs on the Jetson Nano edge platform with has a Quad-core ARM Cortex-A57 CPU and 128-core Maxwell GPU, optimized with TensorRT quantization for real-time operation (≤150 ms latency). The architecture ensures on-device privacy, aligning with GDPR and ISO/SAE 21434 cybersecurity principles. Compared with Tier-1 radar camera solutions, the proposed framework is fully software-driven, cost-efficient, and privacy-preserving. Field validation confirms strong correlation between model predictions and physiological HRV metrics. Future extensions include extreme fatigue detection and multimodal sensor fusion toward a self-adaptive, wellness aware vehicle ecosystem."
