efficientnet_b0 run finished, launching mobilenetv2_100...
Loading existing FP32 corruption-sweep results for mobilenetv2_100 (not re-running -- deterministic, already on disk)
Knee sparsity for mobilenetv2_100: 0.2

=== Variant: pruned_at_knee (0.2) ===
  [pruned@0.2] clean                        acc=0.7359 f1=0.6946 ece=0.0715
  [pruned@0.2] gaussian_blur_sev1           acc=0.7097 f1=0.6471 ece=0.0928
  [pruned@0.2] gaussian_blur_sev2           acc=0.6129 f1=0.4182 ece=0.2133
  [pruned@0.2] gaussian_blur_sev3           acc=0.5484 f1=0.2113 ece=0.3297
  [pruned@0.2] gaussian_blur_sev4           acc=0.5262 f1=0.1132 ece=0.4013
  [pruned@0.2] gaussian_blur_sev5           acc=0.5020 f1=0.0159 ece=0.4744
  [pruned@0.2] brightness_down_sev1         acc=0.7419 f1=0.7051 ece=0.0735
  [pruned@0.2] brightness_down_sev2         acc=0.7379 f1=0.6963 ece=0.0707
  [pruned@0.2] brightness_down_sev3         acc=0.7278 f1=0.6809 ece=0.0802
  [pruned@0.2] brightness_down_sev4         acc=0.7198 f1=0.6667 ece=0.0935
  [pruned@0.2] brightness_down_sev5         acc=0.6996 f1=0.6303 ece=0.1154
  [pruned@0.2] brightness_up_sev1           acc=0.7298 f1=0.6825 ece=0.0773
  [pruned@0.2] brightness_up_sev2           acc=0.7198 f1=0.6601 ece=0.0904
  [pruned@0.2] brightness_up_sev3           acc=0.7056 f1=0.6368 ece=0.1119
  [pruned@0.2] brightness_up_sev4           acc=0.6815 f1=0.5864 ece=0.1404
  [pruned@0.2] brightness_up_sev5           acc=0.6452 f1=0.5111 ece=0.1854
  [pruned@0.2] contrast_down_sev1           acc=0.7339 f1=0.6916 ece=0.0786
  [pruned@0.2] contrast_down_sev2           acc=0.7177 f1=0.6651 ece=0.0915
  [pruned@0.2] contrast_down_sev3           acc=0.7097 f1=0.6505 ece=0.1039
  [pruned@0.2] contrast_down_sev4           acc=0.7137 f1=0.6553 ece=0.1271
  [pruned@0.2] contrast_down_sev5           acc=0.6976 f1=0.6269 ece=0.1380
  [pruned@0.2] gaussian_noise_sev1          acc=0.7440 f1=0.7053 ece=0.0754
  [pruned@0.2] gaussian_noise_sev2          acc=0.7419 f1=0.6981 ece=0.0745
  [pruned@0.2] gaussian_noise_sev3          acc=0.7177 f1=0.6517 ece=0.0999
  [pruned@0.2] gaussian_noise_sev4          acc=0.6613 f1=0.5532 ece=0.1256
  [pruned@0.2] gaussian_noise_sev5          acc=0.6149 f1=0.4709 ece=0.1588
  [pruned@0.2] jpeg_compression_sev1        acc=0.7117 f1=0.6434 ece=0.1132
  [pruned@0.2] jpeg_compression_sev2        acc=0.6593 f1=0.5292 ece=0.1818
  [pruned@0.2] jpeg_compression_sev3        acc=0.6048 f1=0.3797 ece=0.2496
  [pruned@0.2] jpeg_compression_sev4        acc=0.5544 f1=0.2191 ece=0.3273
  [pruned@0.2] jpeg_compression_sev5        acc=0.5040 f1=0.0315 ece=0.4285
  [pruned@0.2] color_shift_warm_sev1        acc=0.7177 f1=0.6618 ece=0.0897
  [pruned@0.2] color_shift_warm_sev2        acc=0.6915 f1=0.6185 ece=0.1197
  [pruned@0.2] color_shift_warm_sev3        acc=0.6835 f1=0.6045 ece=0.1496
  [pruned@0.2] color_shift_warm_sev4        acc=0.6653 f1=0.5722 ece=0.1720
  [pruned@0.2] color_shift_warm_sev5        acc=0.6512 f1=0.5506 ece=0.1805
  [pruned@0.2] sweep done in 517.9s

=== Variant: static_int8 ===
  [int8] clean                        acc=0.4980 f1=0.0000 ece=0.2273
  [int8] gaussian_blur_sev1           acc=0.4980 f1=0.0000 ece=0.2285
  [int8] gaussian_blur_sev2           acc=0.4980 f1=0.0000 ece=0.2311
  [int8] gaussian_blur_sev3           acc=0.4980 f1=0.0000 ece=0.2295
  [int8] gaussian_blur_sev4           acc=0.4980 f1=0.0000 ece=0.2277
  [int8] gaussian_blur_sev5           acc=0.4980 f1=0.0000 ece=0.2273
  [int8] brightness_down_sev1         acc=0.4980 f1=0.0000 ece=0.2293
  [int8] brightness_down_sev2         acc=0.4980 f1=0.0000 ece=0.2300
  [int8] brightness_down_sev3         acc=0.4980 f1=0.0000 ece=0.2310
  [int8] brightness_down_sev4         acc=0.4980 f1=0.0000 ece=0.2297
  [int8] brightness_down_sev5         acc=0.4980 f1=0.0000 ece=0.2323
  [int8] brightness_up_sev1           acc=0.4980 f1=0.0000 ece=0.2268
  [int8] brightness_up_sev2           acc=0.4980 f1=0.0000 ece=0.2293
  [int8] brightness_up_sev3           acc=0.4980 f1=0.0000 ece=0.2260
  [int8] brightness_up_sev4           acc=0.4980 f1=0.0000 ece=0.2257
  [int8] brightness_up_sev5           acc=0.4980 f1=0.0000 ece=0.2259
  [int8] contrast_down_sev1           acc=0.4980 f1=0.0000 ece=0.2265
  [int8] contrast_down_sev2           acc=0.4980 f1=0.0000 ece=0.2257
  [int8] contrast_down_sev3           acc=0.4980 f1=0.0000 ece=0.2263
  [int8] contrast_down_sev4           acc=0.4980 f1=0.0000 ece=0.2267
  [int8] contrast_down_sev5           acc=0.4980 f1=0.0000 ece=0.2288
  [int8] gaussian_noise_sev1          acc=0.4980 f1=0.0000 ece=0.2269
  [int8] gaussian_noise_sev2          acc=0.4980 f1=0.0000 ece=0.2268
  [int8] gaussian_noise_sev3          acc=0.4980 f1=0.0000 ece=0.2278
  [int8] gaussian_noise_sev4          acc=0.4980 f1=0.0000 ece=0.2284
  [int8] gaussian_noise_sev5          acc=0.4980 f1=0.0000 ece=0.2283
