Loading existing FP32 corruption-sweep results for shufflenet_v2_x1_0 (not re-running -- deterministic, already on disk)
Knee sparsity for shufflenet_v2_x1_0: 0.5

=== Variant: pruned_at_knee (0.5) ===
  [pruned@0.5] clean                        acc=0.6935 f1=0.6082 ece=0.0645
  [pruned@0.5] gaussian_blur_sev1           acc=0.6673 f1=0.5504 ece=0.0860
  [pruned@0.5] gaussian_blur_sev2           acc=0.6270 f1=0.4272 ece=0.1447
  [pruned@0.5] gaussian_blur_sev3           acc=0.5544 f1=0.2135 ece=0.2508
  [pruned@0.5] gaussian_blur_sev4           acc=0.5161 f1=0.0698 ece=0.3218
  [pruned@0.5] gaussian_blur_sev5           acc=0.4980 f1=0.0000 ece=0.3680
  [pruned@0.5] brightness_down_sev1         acc=0.6976 f1=0.6134 ece=0.0501
  [pruned@0.5] brightness_down_sev2         acc=0.6935 f1=0.6103 ece=0.0459
  [pruned@0.5] brightness_down_sev3         acc=0.6754 f1=0.5684 ece=0.0607
  [pruned@0.5] brightness_down_sev4         acc=0.6552 f1=0.5289 ece=0.0771
  [pruned@0.5] brightness_down_sev5         acc=0.6190 f1=0.4615 ece=0.0884
  [pruned@0.5] brightness_up_sev1           acc=0.6915 f1=0.6026 ece=0.0748
  [pruned@0.5] brightness_up_sev2           acc=0.6815 f1=0.5775 ece=0.0896
  [pruned@0.5] brightness_up_sev3           acc=0.6452 f1=0.4884 ece=0.1262
  [pruned@0.5] brightness_up_sev4           acc=0.6129 f1=0.4074 ece=0.1690
  [pruned@0.5] brightness_up_sev5           acc=0.5625 f1=0.2644 ece=0.2259
  [pruned@0.5] contrast_down_sev1           acc=0.6794 f1=0.5714 ece=0.0827
  [pruned@0.5] contrast_down_sev2           acc=0.6431 f1=0.4840 ece=0.1014
  [pruned@0.5] contrast_down_sev3           acc=0.6169 f1=0.3910 ece=0.1570
  [pruned@0.5] contrast_down_sev4           acc=0.5423 f1=0.1745 ece=0.2232
  [pruned@0.5] contrast_down_sev5           acc=0.5020 f1=0.0159 ece=0.2913
  [pruned@0.5] gaussian_noise_sev1          acc=0.7157 f1=0.6586 ece=0.0613
  [pruned@0.5] gaussian_noise_sev2          acc=0.7359 f1=0.7029 ece=0.0598
  [pruned@0.5] gaussian_noise_sev3          acc=0.7238 f1=0.6893 ece=0.0472
  [pruned@0.5] gaussian_noise_sev4          acc=0.6935 f1=0.6530 ece=0.0586
  [pruned@0.5] gaussian_noise_sev5          acc=0.6815 f1=0.6238 ece=0.0637
  [pruned@0.5] jpeg_compression_sev1        acc=0.6714 f1=0.5606 ece=0.0794
  [pruned@0.5] jpeg_compression_sev2        acc=0.6532 f1=0.5029 ece=0.1187
  [pruned@0.5] jpeg_compression_sev3        acc=0.6129 f1=0.4000 ece=0.1609
  [pruned@0.5] jpeg_compression_sev4        acc=0.5484 f1=0.1942 ece=0.2539
  [pruned@0.5] jpeg_compression_sev5        acc=0.5101 f1=0.0618 ece=0.2520
  [pruned@0.5] color_shift_warm_sev1        acc=0.6895 f1=0.6071 ece=0.0617
  [pruned@0.5] color_shift_warm_sev2        acc=0.6935 f1=0.6181 ece=0.0616
  [pruned@0.5] color_shift_warm_sev3        acc=0.6754 f1=0.5840 ece=0.0556
  [pruned@0.5] color_shift_warm_sev4        acc=0.6391 f1=0.5149 ece=0.1002
  [pruned@0.5] color_shift_warm_sev5        acc=0.6210 f1=0.4629 ece=0.1248
  [pruned@0.5] sweep done in 241.2s

=== Variant: static_int8 ===
  [int8] clean                        acc=0.7540 f1=0.7814 ece=0.0380
  [int8] gaussian_blur_sev1           acc=0.7560 f1=0.7730 ece=0.0671
  [int8] gaussian_blur_sev2           acc=0.7460 f1=0.7308 ece=0.0604
  [int8] gaussian_blur_sev3           acc=0.7097 f1=0.6453 ece=0.0593
  [int8] gaussian_blur_sev4           acc=0.6190 f1=0.4457 ece=0.1640
  [int8] gaussian_blur_sev5           acc=0.5605 f1=0.2585 ece=0.2596
  [int8] brightness_down_sev1         acc=0.7480 f1=0.7795 ece=0.0523
  [int8] brightness_down_sev2         acc=0.7440 f1=0.7791 ece=0.0462
  [int8] brightness_down_sev3         acc=0.7399 f1=0.7772 ece=0.0467
  [int8] brightness_down_sev4         acc=0.7379 f1=0.7743 ece=0.0555
  [int8] brightness_down_sev5         acc=0.7117 f1=0.7366 ece=0.0783
  [int8] brightness_up_sev1           acc=0.7560 f1=0.7820 ece=0.0646
  [int8] brightness_up_sev2           acc=0.7560 f1=0.7763 ece=0.0605
  [int8] brightness_up_sev3           acc=0.7540 f1=0.7608 ece=0.0538
  [int8] brightness_up_sev4           acc=0.7379 f1=0.7246 ece=0.0603
  [int8] brightness_up_sev5           acc=0.6875 f1=0.6353 ece=0.0890
  [int8] contrast_down_sev1           acc=0.7621 f1=0.7847 ece=0.0492
  [int8] contrast_down_sev2           acc=0.7581 f1=0.7761 ece=0.0608
  [int8] contrast_down_sev3           acc=0.7681 f1=0.7750 ece=0.0893
  [int8] contrast_down_sev4           acc=0.7319 f1=0.7176 ece=0.0606
  [int8] contrast_down_sev5           acc=0.6613 f1=0.5508 ece=0.0935
  [int8] gaussian_noise_sev1          acc=0.7177 f1=0.7611 ece=0.0520
  [int8] gaussian_noise_sev2          acc=0.6835 f1=0.7455 ece=0.0763
  [int8] gaussian_noise_sev3          acc=0.6492 f1=0.7348 ece=0.1214
  [int8] gaussian_noise_sev4          acc=0.6089 f1=0.7122 ece=0.1536
  [int8] gaussian_noise_sev5          acc=0.6230 f1=0.7188 ece=0.1332
  [int8] jpeg_compression_sev1        acc=0.7520 f1=0.7751 ece=0.0446
  [int8] jpeg_compression_sev2        acc=0.7560 f1=0.7669 ece=0.0677
  [int8] jpeg_compression_sev3        acc=0.7641 f1=0.7665 ece=0.0804
  [int8] jpeg_compression_sev4        acc=0.7440 f1=0.7184 ece=0.0741
  [int8] jpeg_compression_sev5        acc=0.5544 f1=0.2848 ece=0.1613
  [int8] color_shift_warm_sev1        acc=0.7500 f1=0.7794 ece=0.0593
  [int8] color_shift_warm_sev2        acc=0.7258 f1=0.7606 ece=0.0516
  [int8] color_shift_warm_sev3        acc=0.7218 f1=0.7587 ece=0.0384
  [int8] color_shift_warm_sev4        acc=0.7177 f1=0.7509 ece=0.0350
  [int8] color_shift_warm_sev5        acc=0.7258 f1=0.7500 ece=0.0553
  [int8] sweep done in 101.8s

=== Variant: pruned30_plus_int8 ===
  [pruned30+int8] clean                        acc=0.7601 f1=0.7750 ece=0.0692
  [pruned30+int8] gaussian_blur_sev1           acc=0.7500 f1=0.7520 ece=0.0572
  [pruned30+int8] gaussian_blur_sev2           acc=0.7298 f1=0.6912 ece=0.0418
  [pruned30+int8] gaussian_blur_sev3           acc=0.6694 f1=0.5615 ece=0.0927
  [pruned30+int8] gaussian_blur_sev4           acc=0.5968 f1=0.3671 ece=0.1970
  [pruned30+int8] gaussian_blur_sev5           acc=0.5242 f1=0.1128 ece=0.2913
  [pruned30+int8] brightness_down_sev1         acc=0.7500 f1=0.7643 ece=0.0502
  [pruned30+int8] brightness_down_sev2         acc=0.7540 f1=0.7707 ece=0.0716
  [pruned30+int8] brightness_down_sev3         acc=0.7440 f1=0.7562 ece=0.0505
  [pruned30+int8] brightness_down_sev4         acc=0.7399 f1=0.7456 ece=0.0518
  [pruned30+int8] brightness_down_sev5         acc=0.6935 f1=0.6652 ece=0.0494
  [pruned30+int8] brightness_up_sev1           acc=0.7560 f1=0.7669 ece=0.0656
  [pruned30+int8] brightness_up_sev2           acc=0.7520 f1=0.7583 ece=0.0564
  [pruned30+int8] brightness_up_sev3           acc=0.7480 f1=0.7401 ece=0.0863
  [pruned30+int8] brightness_up_sev4           acc=0.7137 f1=0.6682 ece=0.0593
  [pruned30+int8] brightness_up_sev5           acc=0.6694 f1=0.5729 ece=0.1144
  [pruned30+int8] contrast_down_sev1           acc=0.7661 f1=0.7752 ece=0.0486
  [pruned30+int8] contrast_down_sev2           acc=0.7742 f1=0.7760 ece=0.0655
  [pruned30+int8] contrast_down_sev3           acc=0.7520 f1=0.7411 ece=0.0585
